time_signature  energy    danceability  tempo    duration   key  liveness  speechiness  instrumentalness loudness name 			    		   type
4 		0.40073   0.755556      84.995   297.99619  10   0.104286  0.044113     0.703557 	-21.126   "Autumn Leaves"			   jazz
4 		0.608095  0.679285      126.088  499.95755  1    0.073669  0.029806     0.818066 	-9.353    "Cantaloupe Island"			   jazz
4 		0.263817  0.471813      157.967  367.44     5    0.149154  0.034934     0.862037 	-10.591   "Speak No Evil"			   jazz
4 		0.514701  0.660689      118.497  488.02667  10   0.123334  0.038902     0.088333 	-10.491   "Back at the Chicken Shack"		   jazz
4 		0.592191  0.544231      77.121   30.06649   0    0.308839  0.035696     0.928319 	-9.046    "Easy to Love"			   jazz
4 		0.270483  0.385161      134.983  422.6      8    0.11201   0.032281     0.919799 	-16.738   "Along Came Betty"			   jazz
4 		0.842146  0.375651      104.989  117.7015   4    0.407794  0.044191     0.690729 	-7.277    "Snafu"				   jazz
4 		0.229978  0.523276      89.739   191.91823  10   0.285431  0.088553     0.012174 	-16.232   "Late Entry"				   jazz
4 		0.344875  0.683788      105.009  184.25288  5    0.111626  0.042943     0.39698 	-9.011    "Midnight Blue"			   jazz
4 		0.206554  0.510527      123.234  216.57456  4    0.121431  0.067063     0.856177 	-22.211   "Round Johnny Rondo"			   jazz
4 		0.01692   0.456376      100.17   196.13333  8    0.11075   0.033792     0.544274 	-27.86    "Smoke Rings"				   jazz
3 		0.078643  0.46698       93.365   274.2      5    0.111226  0.040301     0.902568 	-19.15    "Theme for Maxine"			   jazz
4 		0.448427  0.628934      110.135  339.62621  2    0.073973  0.02719      0.359144 	-5.582    "Flamenco Sketches"			   jazz
4 		0.805236  0.711306      93.517   251.63465  5    0.172038  0.083068     0.935543 	-9.61     "The Jody Grind"			   jazz
3 		0.448773  0.207792      174.748  826.2      4    0.316285  0.034624     4.5e-05 	-17.279   "My Favorite Things" 			   jazz
4 		0.738434  0.810946      123.991  468.38707  11   0.082485  0.049162     0.924853 	-8.19     "Reflection"				   jazz
4 		0.24796   0.453555      109.783  514.21333  0    0.09345   0.033497     0.099088 	-15.132   "Oriental Folk Song"			   jazz
4 		0.205744  0.36869       139.439  226.26667  7    0.114977  0.05153      0.780788 	-23.295   "Willow Weep For Me" 			   jazz
4 		0.624529  0.515463      103.072  405.62667  0    0.322868  0.043697     0.000189 	-11.727   "Sister Sadie"			   jazz
4 		0.172424  0.491393      113.95   493.63955  5    0.246256  0.040149     0.605726 	-16.862   "You've Changed"			   jazz
4 		0.293245  0.658154      119.531  241.43955  3    0.205262  0.051641     5.6e-05 	-12.55    "Lucky to Be Me"			   jazz
4 		0.781441  0.383273      90.564   807.13333  0    0.124619  0.103388     0.34928 	-8.576    "Blues by Five"			   jazz
4 		0.338169  0.493313      109.434  87.46667   3    0.098946  0.030847     0.570438 	-11.487   "The Interlude (Drinking Music)"	   jazz
4 		0.221711  0.553885      107.782  573.71864  10   0.125261  0.041837     9.5e-05 	-11.972   "On A Slow Boat To China"		   jazz
4 		0.099684  0.382257      82.36    612.84     5    0.216734  0.038643     0.563594 	-14.553   "In A Sentimental Mood"		   jazz
4 		0.957547  0.567437      100.147  314.52     4    0.934553  0.0838       0.044006 	-7.627    "New York Groove"			   rock
4 		0.660825  0.329936      167.983  221.17832  6    0.106641  0.035553     0.226859 	-7.51     "A Bad Dream"				   rock
4 		0.525348  0.70688       127.944  209.87202  7    0.119163  0.053807     0.00395 	-9.68     "You Shook Me All Night Long"		   rock
4 		0.973398  0.353564      162.985  193.95215  5    0.316804  0.073133     0.201272 	-3.101    "Miss Misery"				   rock
4 		0.942775  0.209272      121.937  690.99955  5    0.698115  0.11083      0.021876 	-5.366    "Foreplay/Long Time"			   rock
4 		0.599712  0.687259      128.635  284.37741  7    0.101751  0.035047     0.009932 	-6.844    "Any Way You Want It"			   rock
4 		0.827222  0.627837      121.947  211.46667  9    0.068516  0.045236     0.0 		-5.662    "Slither"				   rock
4 		0.588328  0.540735      126.672  152.2      2    0.14628   0.036574     8.9e-05 	-7.428    "Rock And Roll"			   rock
4	  	0.686442  0.573716      126.895  262.96     5    0.11406   0.045956     0.0 		-4.641    "Show Me The Way" 			   rock
4 		0.317048  0.593136      82.878   132.22159  7    0.089191  0.027878     1e-06 		-17.577   "Dream On" 				   rock
4 		0.264387  0.755907      96.996   139.48     7    0.120293  0.039404     0.000335 	-10.983   "Satan Your Kingdom Must Come Down" 	   rock
4 		0.780136  0.348503      105.235  313.25778  2    0.039384  0.064873     0.94246 	-2.434    "Hells Bells" 			   rock
4 		0.712205  0.425608      168.466  189.66476  7    0.135701  0.05434      0.0 		-7.391    "Wasting My Time" 			   rock
4 		0.951755  0.415846      108.407  183.22667  11   0.300453  0.073737     0.150924 	-7.745    "Razamanaz" 				   rock
4 		0.843185  0.470792      138.534  156.22667  2    0.066599  0.056882     2e-06 		-10.976   "Hitch A Ride" 			   rock
4 		0.043298  0.090984      86.059   200.8      7    0.100425  0.040277     0.93568 	-27.013   "Hunger Strike" 			   rock
4 		0.385633  0.596263      129.948  197.27673  9    0.105135  0.066895     0.0 		-10.344   "All My Love" 			   rock
4 		0.939087  0.546367      101.816  275.25333  9    0.19913   0.047698     2.7e-05 	-6.081    "Feed My Frankenstein"		   rock
3 		0.366472  0.659486      144.973  386.8      10   0.106516  0.066407     0.972136 	-16.898   "Thunderstruck"			   rock
4		0.31502   0.50041       142.01   257.45288  9    0.274091  0.027158     0.0 		-8.616    "Jane"				   rock
4 		0.872054  0.798399      114.981  178.85923  2    0.156626  0.036185     0.666287	-2.17     "Another One Bites The Dust"		   rock
4 		0.837137  0.481896      159.996  229.30626  5    0.074324  0.042875     2.5e-05 	-3.277    "Welcome To My Nightmare"		   rock
3 		0.01587   0.208421      197.513  196.03202  5    0.245006  0.041828     0.941805 	-31.346   "Photograph"				   rock
4 		0.775623  0.74945       139.696  224.38667  0    0.150604  0.037333     4e-06 		-4.511    "With Or Without You"			   rock
4 		0.768603  0.197806      175.749  270.88     3    0.090741  0.03808      1.1e-05 	-5.377    "Sleeping (In The Fire)"		   rock
4 		0.374104  0.807317      143.953  248.71138  7    0.072157  0.097446     0.0 		-17.838   "Hush"				   rock
4 		0.331736  0.520718      111.672  242.95955  5    0.135448  0.054435     0.922627 	-15.073   "You Can Leave Your Hat On"		   rock
4 		0.663639  0.404968      114.882  196.94667  9    0.110657  0.029673     0.538592 	-6.176    "In A Darkened Room"			   rock
4 		0.800392  0.268809      162.124  262.04     6    0.09927   0.046841     1.7e-05 	-6.365    "Mighty Wings"			   rock
4 		0.087333  0.29924       79.837   512.37333  0    0.089466  0.032632     0.938647 	-18.942   "November Rain"			   rock
5 		0.473579  0.523168      120.337  135.1542   3    0.111539  0.05182      1e-06 		-5.986    "Made to Love"			   pop
4 		0.740738  0.770602      179.954  239.62667  7    0.340011  0.36591      1e-06 		-7.635    "Where Is The Love?"			   pop
4		0.90262   0.621197      99.633   214.17333  4    0.093353  0.045995     0.01536 	-6.326    "Stupid Girls"			   pop
4 		0.479672  0.622101      102.529  244.86667  7    0.161252  0.059872     4.2e-05 	-13.232   "Under The Bridge"			   pop
4 		0.603271  0.447672      100.37   206.60426  6    0.096453  0.027088     0.104005 	-7.327    "American Girl"			   pop
