time_signature; energy; danceability; tempo; duration; key; liveness; speechiness; instrumentalness; loudness; acousticness; valence; song_hotttnesss;song_name; artist_name; genre
1 ; 0.130521 ; 0.368181 ; 116.172 ; 257.29415 ; 2 ; 0.273524 ; 0.065543 ; 0.0 ; -14.187 ; 0.99156 ; 0.211 ; 0.276781 ; Carmen:Suite No.2, Habanera ; Georges Bizet ; classical
4 ; 0.154346 ; 0.321836 ; 102.687 ; 260.09333 ; 9 ; 0.146087 ; 0.033612 ; 0.484306 ; -22.871 ; 0.91189 ; 0.442451 ; 0.21064 ; Rakoczy March ; Hector Berlioz ; classical
4 ; 0.006355 ; 0.231027 ; 65.618 ; 421.5 ; 10 ; 0.094574 ; 0.036064 ; 0.907163 ; -35.537 ; 0.971364 ; 0.061283 ; 0.140427 ; Piano Concerto No. 2 in D Minor, Op. 40: II. Adagio - Molto sostenuto ; Felix Mendelssohn ; classical
4 ; 0.020868 ; 0.122034 ; 95.257 ; 865.0 ; 10 ; 0.093081 ; 0.037967 ; 0.678306 ; -24.604 ; 0.968578 ; 0.036842 ; 0.250895 ; Brigg Fair ; Frederick Delius ; classical
4 ; 0.130037 ; 0.156909 ; 85.625 ; 221.35955 ; 11 ; 0.091402 ; 0.042054 ; 0.860331 ; -24.389 ; 0.993312 ; 0.047874 ; 0.203112 ; Masses, Book 2: Missa Papae Marcelli: Kyrie ; Giovanni Pierluigi da Palestrina ; classical
4 ; 0.077068 ; 0.514628 ; 64.914 ; 130.69061 ; 1 ; 0.092841 ; 0.109018 ; 0.94299 ; -19.838 ; 0.994739 ; 0.193357 ; 0.312547 ; Suite Bergamasque L. 75: - III. Clair De Lune ; Claude Debussy ; classical
3 ; 0.172672 ; 0.147928 ; 83.426 ; 295.38667 ; 4 ; 0.15009 ; 0.035054 ; 0.601384 ; -18.239 ; 0.764228 ; 0.120589 ; 0.052336 ; King's Row ; Erich Wolfgang Korngold ; classical
4 ; 0.068114 ; 0.15329 ; 86.551 ; 680.84 ; 2 ; 0.328782 ; 0.042424 ; 0.857916 ; -23.989 ; 0.96998 ; 0.038213 ; 0.140427 ; Kol Nidrei, for Cello & Orchestra, Op. 47 ; Max Bruch ; classical
4 ; 0.022252 ; 0.473256 ; 119.248 ; 388.24 ; 0 ; 0.086436 ; 0.04791 ; 0.73542 ; -18.0 ; 0.969974 ; 0.313875 ; 0.181073 ; Symphony No. 94 In G "Surprise" ; Franz Joseph Haydn ; classical
3 ; 0.215825 ; 0.303344 ; 172.954 ; 585.37333 ; 4 ; 0.698381 ; 0.129283 ; 0.243432 ; -21.642 ; 0.718306 ; 0.326697 ; 0.0 ; Overture to La Gazza Ladra ; Rossini ; classical
